# 50VolumeVsPrice.R; If Volume=NaN: no trade was done at this date
%	 13319
%	 4
% Key	Time	Price	Volume	
1	1983-03-30	29.4	1884
2	1983-03-31	29.29	1478
3	1983-04-01	29.29	NaN
4	1983-04-02	29.29	NaN
5	1983-04-03	29.29	NaN
6	1983-04-04	29.44	478
7	1983-04-05	29.71	478
8	1983-04-06	29.9	893
9	1983-04-07	30.17	1469
10	1983-04-08	30.38	1028
11	1983-04-09	30.38	NaN
12	1983-04-10	30.38	NaN
13	1983-04-11	30.26	797
14	1983-04-12	30.83	928
15	1983-04-13	30.82	1418
16	1983-04-14	30.69	695
17	1983-04-15	30.48	698
18	1983-04-16	30.48	NaN
19	1983-04-17	30.48	NaN
20	1983-04-18	30.75	262
21	1983-04-19	30.75	557
22	1983-04-20	30.7	398
23	1983-04-21	30.68	279
24	1983-04-22	30.75	530
25	1983-04-23	30.75	NaN
26	1983-04-24	30.75	NaN
27	1983-04-25	30.84	324
28	1983-04-26	30.71	417
29	1983-04-27	30.78	433
30	1983-04-28	30.74	1206
31	1983-04-29	30.63	636
32	1983-04-30	30.63	NaN
33	1983-05-01	30.63	NaN
34	1983-05-02	30.61	359
35	1983-05-03	30.5	1003
36	1983-05-04	30.42	843
37	1983-05-05	30.2	714
38	1983-05-06	30.45	798
39	1983-05-07	30.45	NaN
40	1983-05-08	30.45	NaN
41	1983-05-09	30.1	1372
42	1983-05-10	30.31	990
43	1983-05-11	29.97	684
44	1983-05-12	29.72	1359
45	1983-05-13	29.8	1005
46	1983-05-14	29.8	NaN
47	1983-05-15	29.8	NaN
48	1983-05-16	30.12	1052
49	1983-05-17	29.91	783
50	1983-05-18	29.9	373
51	1983-05-19	29.95	137
52	1983-05-20	30.3	1599
53	1983-05-21	30.3	NaN
54	1983-05-22	30.3	NaN
55	1983-05-23	30.27	1072
56	1983-05-24	30.05	553
57	1983-05-25	30.25	189
58	1983-05-26	30.31	741
59	1983-05-27	30.19	555
60	1983-05-28	30.19	NaN
61	1983-05-29	30.19	NaN
62	1983-05-30	30.19	NaN
63	1983-05-31	30.25	365
64	1983-06-01	30.33	525
65	1983-06-02	30.4	225
66	1983-06-03	30.36	344
67	1983-06-04	30.36	NaN
68	1983-06-05	30.36	NaN
69	1983-06-06	30.35	241
70	1983-06-07	30.59	851
71	1983-06-08	30.6	1372
72	1983-06-09	30.49	637
73	1983-06-10	30.77	1036
74	1983-06-11	30.77	NaN
75	1983-06-12	30.77	NaN
76	1983-06-13	31	1225
77	1983-06-14	31	1121
78	1983-06-15	31.3	793
79	1983-06-16	31.6	1301
80	1983-06-17	31.4	881
81	1983-06-18	31.4	NaN
82	1983-06-19	31.4	NaN
83	1983-06-20	31.42	488
84	1983-06-21	31.18	366
85	1983-06-22	30.95	1145
86	1983-06-23	31.1	390
87	1983-06-24	31.2	315
88	1983-06-25	31.2	NaN
89	1983-06-26	31.2	NaN
90	1983-06-27	31.2	256
91	1983-06-28	31.24	884
92	1983-06-29	31.2	783
93	1983-06-30	31.38	723
94	1983-07-01	31.35	206
95	1983-07-02	31.35	NaN
96	1983-07-03	31.35	NaN
97	1983-07-04	31.35	NaN
98	1983-07-05	31.27	447
99	1983-07-06	31.2	2236
100	1983-07-07	31.4	1037
101	1983-07-08	31.4	685
102	1983-07-09	31.4	NaN
103	1983-07-10	31.4	NaN
104	1983-07-11	31.64	535
105	1983-07-12	31.72	1367
106	1983-07-13	31.87	2230
107	1983-07-14	31.85	954
108	1983-07-15	31.7	1107
109	1983-07-16	31.7	NaN
110	1983-07-17	31.7	NaN
111	1983-07-18	31.57	1442
112	1983-07-19	31.62	998
113	1983-07-20	31.65	412
114	1983-07-21	31.51	431
115	1983-07-22	31.46	508
116	1983-07-23	31.46	NaN
117	1983-07-24	31.46	NaN
118	1983-07-25	31.4	327
119	1983-07-26	31.53	375
120	1983-07-27	31.73	913
121	1983-07-28	31.82	1210
122	1983-07-29	32	1136
123	1983-07-30	32	NaN
124	1983-07-31	32	NaN
125	1983-08-01	32.12	660
126	1983-08-02	32.15	679
127	1983-08-03	32.2	1044
128	1983-08-04	32.14	891
129	1983-08-05	32.15	351
130	1983-08-06	32.15	NaN
131	1983-08-07	32.15	NaN
132	1983-08-08	32.05	247
133	1983-08-09	31.94	803
134	1983-08-10	32.14	1145
135	1983-08-11	31.95	1342
136	1983-08-12	31.99	816
137	1983-08-13	31.99	NaN
138	1983-08-14	31.99	NaN
139	1983-08-15	32	697
140	1983-08-16	31.98	670
141	1983-08-17	31.87	1012
142	1983-08-18	31.63	727
143	1983-08-19	31.65	444
144	1983-08-20	31.65	NaN
145	1983-08-21	31.65	NaN
146	1983-08-22	31.53	437
147	1983-08-23	31.65	418
148	1983-08-24	31.57	824
149	1983-08-25	31.73	1405
150	1983-08-26	31.8	781
151	1983-08-27	31.8	NaN
152	1983-08-28	31.8	NaN
153	1983-08-29	31.66	598
154	1983-08-30	31.68	609
155	1983-08-31	31.59	711
156	1983-09-01	31.6	1030
157	1983-09-02	31.57	723
158	1983-09-03	31.57	NaN
159	1983-09-04	31.57	NaN
160	1983-09-05	31.57	NaN
161	1983-09-06	31.36	1157
162	1983-09-07	31.38	1090
163	1983-09-08	31.34	1423
164	1983-09-09	31.21	1816
165	1983-09-10	31.21	NaN
166	1983-09-11	31.21	NaN
167	1983-09-12	31.15	949
168	1983-09-13	31.23	1744
169	1983-09-14	31.4	1574
170	1983-09-15	31.48	1127
171	1983-09-16	31.5	616
172	1983-09-17	31.5	NaN
173	1983-09-18	31.5	NaN
174	1983-09-19	31.45	341
175	1983-09-20	31.33	666
176	1983-09-21	31.39	1991
177	1983-09-22	31.3	850
178	1983-09-23	31.3	508
179	1983-09-24	31.3	NaN
180	1983-09-25	31.3	NaN
181	1983-09-26	31.22	522
182	1983-09-27	31.11	686
183	1983-09-28	30.76	1820
184	1983-09-29	30.6	3133
185	1983-09-30	30.36	2750
186	1983-10-01	30.36	NaN
187	1983-10-02	30.36	NaN
188	1983-10-03	29.92	4736
189	1983-10-04	30.18	4943
190	1983-10-05	30.2	4521
191	1983-10-06	30.26	1871
192	1983-10-07	30.47	2089
193	1983-10-08	30.47	NaN
194	1983-10-09	30.47	NaN
195	1983-10-10	30.85	2188
196	1983-10-11	30.57	2657
197	1983-10-12	30.52	1719
198	1983-10-13	30.66	2111
199	1983-10-14	30.55	1154
200	1983-10-15	30.55	NaN
201	1983-10-16	30.55	NaN
202	1983-10-17	30.61	1990
203	1983-10-18	30.55	2102
204	1983-10-19	30.32	1375
205	1983-10-20	30.3	1781
206	1983-10-21	30.33	1048
207	1983-10-22	30.33	NaN
208	1983-10-23	30.33	NaN
209	1983-10-24	30.44	968
210	1983-10-25	30.43	682
211	1983-10-26	30.23	2196
212	1983-10-27	30.31	2042
213	1983-10-28	30.26	2605
214	1983-10-29	30.26	NaN
215	1983-10-30	30.26	NaN
216	1983-10-31	30.37	1314
217	1983-11-01	30.38	2050
218	1983-11-02	30.35	3061
219	1983-11-03	30.42	3367
220	1983-11-04	30.46	3082
221	1983-11-05	30.46	NaN
222	1983-11-06	30.46	NaN
223	1983-11-07	30.39	1055
224	1983-11-08	30.38	1792
225	1983-11-09	30.38	2363
226	1983-11-10	30.26	4429
227	1983-11-11	30.14	4056
228	1983-11-12	30.14	NaN
