%	 10514
%	 6
% Key	Date	OpeningPrice	OpeningVolume	ClosingPrice	ClosingVolume	
1	1983-03-30	29.4	NaN	29.4	NaN
2	1983-03-31	29.29	NaN	29.29	NaN
3	1983-04-04	29.44	NaN	29.44	NaN
4	1983-04-05	29.71	NaN	29.71	NaN
5	1983-04-06	29.9	NaN	29.9	NaN
6	1983-04-07	30.17	NaN	30.17	NaN
7	1983-04-08	30.38	NaN	30.38	NaN
8	1983-04-11	30.26	NaN	30.26	NaN
9	1983-04-12	30.83	NaN	30.83	NaN
10	1983-04-13	30.82	NaN	30.82	NaN
11	1983-04-14	30.69	NaN	30.69	NaN
12	1983-04-15	30.48	NaN	30.48	NaN
13	1983-04-18	30.75	NaN	30.75	NaN
14	1983-04-19	30.75	NaN	30.75	NaN
15	1983-04-20	30.7	NaN	30.7	NaN
16	1983-04-21	30.68	NaN	30.68	NaN
17	1983-04-22	30.75	NaN	30.75	NaN
18	1983-04-25	30.84	NaN	30.84	NaN
19	1983-04-26	30.71	NaN	30.71	NaN
20	1983-04-27	30.78	NaN	30.78	NaN
21	1983-04-28	30.74	NaN	30.74	NaN
22	1983-04-29	30.63	NaN	30.63	NaN
23	1983-05-02	30.61	NaN	30.61	NaN
24	1983-05-03	30.5	NaN	30.5	NaN
25	1983-05-04	30.42	NaN	30.42	NaN
26	1983-05-05	30.2	NaN	30.2	NaN
27	1983-05-06	30.45	NaN	30.45	NaN
28	1983-05-09	30.1	NaN	30.1	NaN
29	1983-05-10	30.31	NaN	30.31	NaN
30	1983-05-11	29.97	NaN	29.97	NaN
31	1983-05-12	29.72	NaN	29.72	NaN
32	1983-05-13	29.8	NaN	29.8	NaN
33	1983-05-16	30.12	NaN	30.12	NaN
34	1983-05-17	29.91	NaN	29.91	NaN
35	1983-05-18	29.9	NaN	29.9	NaN
36	1983-05-19	29.95	NaN	29.95	NaN
37	1983-05-20	30.3	NaN	30.3	NaN
38	1983-05-23	30.27	NaN	30.27	NaN
39	1983-05-24	30.05	NaN	30.05	NaN
